City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Labuhan,ID,84.87,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
472,Lekoni,GA,71.38,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
473,Trincomalee,LK,80.49,few clouds,8.5711,81.2335,Welcombe Hotel
474,Makurdi,NG,75.83,overcast clouds,7.7411,8.5121,Doo Palace Hotel
475,Bengkulu,ID,78.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
479,Muvattupula,IN,76.68,overcast clouds,9.9667,76.5833,Indian Summer House
480,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
490,Santa Cruz,BO,83.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
491,Dingle,PH,82.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
499,Itarema,BR,80.35,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
504,Monkey Bay,MW,80.78,clear sky,-14.0728,34.9201,Monkey Bay Beach Lodge
507,Makasar,ID,83.93,overcast clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
509,Nachingwea,TZ,70.32,scattered clouds,-10.3833,38.7667,Makoga lodge
510,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
513,Meulaboh,ID,77.38,overcast clouds,4.1363,96.1285,Kost Pria
514,Ishikawa,JP,76.96,scattered clouds,26.4233,127.8214,Sheraton Okinawa Sunmarina Resort
517,Fomboni,KM,79.34,clear sky,-12.28,43.7425,Auberge les abou
518,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
520,Mancio Lima,BR,77.16,few clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
521,Akyab,MM,76.71,overcast clouds,20.15,92.9,Hotel Memory
522,Surin,TH,81.91,scattered clouds,14.8818,103.4936,One Fu Hotel
524,Bandarbeyla,SO,77.7,overcast clouds,9.4942,50.8122,JABIR HOTEL
529,Katobu,ID,86.49,clear sky,-4.9408,122.5276,La Ode Husein
531,Inirida,CO,74.64,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
551,Ormara,PK,79.38,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
552,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
553,Bambanglipuro,ID,78.62,overcast clouds,-7.95,110.2833,Puri Brata
557,Japura,ID,76.33,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
561,Carlos Chagas,BR,70.77,overcast clouds,-17.7031,-40.7664,Minas Hotel
563,Midlothian,US,73.94,clear sky,32.4824,-96.9945,Americas Best Value Inn Midlothian Cedar Hill
564,Sinnamary,GF,78.64,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
566,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
573,Luanda,AO,75.13,overcast clouds,-8.8368,13.2343,Hotel Fórum
578,Aquiraz,BR,81.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
579,San Juan De Los Morros,VE,72.09,overcast clouds,9.9115,-67.3538,Hotel La Montaña
580,Moindou,NC,75.15,scattered clouds,-21.6924,165.677,Gite de la RYAWA
584,Pafos,CY,73.31,overcast clouds,34.7667,32.4167,Elysium Hotel
586,Ambilobe,MG,71.73,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
588,Beira,MZ,71.82,few clouds,-19.8436,34.8389,Beira Terrace Hotel
