City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Mar Del Plata,AR,-38.0023,-57.5575,55.09,90,90,1.99,overcast clouds
70,Dutse,NG,11.7594,9.3392,74.41,24,100,2.13,overcast clouds
71,Yilan,TW,24.757,121.753,77.11,89,100,0.96,overcast clouds
72,Moose Factory,CA,51.2585,-80.6094,39.2,100,90,6.91,overcast clouds
73,Victoria,HK,22.2855,114.1577,77.38,82,37,1.99,scattered clouds
74,Roald,NO,62.5833,6.1333,50.32,71,75,5.75,broken clouds
75,Coelho Neto,BR,-4.2567,-43.0128,73.6,94,90,2.95,overcast clouds
76,Asau,RO,46.4333,26.4,43.72,95,0,4.0,clear sky
77,Luderitz,NA,-26.6481,15.1594,61.61,69,100,7.49,overcast clouds
78,Hermanus,ZA,-34.4187,19.2345,61.9,81,100,10.8,overcast clouds
79,Port Macquarie,AU,-31.4333,152.9167,71.56,52,98,9.35,overcast clouds
80,Diamantino,BR,-14.4086,-56.4461,73.67,93,100,1.41,overcast clouds
81,Geraldton,AU,-28.7667,114.6,66.61,59,75,18.41,broken clouds
82,Nanortalik,GL,60.1432,-45.2371,33.85,68,92,9.78,overcast clouds
83,Ixtapa,MX,20.7,-105.2,75.6,90,3,0.83,clear sky
84,Gazanjyk,TM,39.2446,55.5154,52.93,59,6,14.29,clear sky
85,Grindavik,IS,63.8424,-22.4338,37.35,80,75,24.16,broken clouds
86,Alta Floresta,BR,-9.8756,-56.0861,70.48,99,98,4.34,overcast clouds
87,Saint-Augustin,CA,51.226,-58.6502,44.06,65,100,8.77,overcast clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,69.6,90,44,7.31,scattered clouds
89,Shunyi,CN,40.125,116.6453,48.15,71,0,2.24,clear sky
90,Mount Isa,AU,-20.7333,139.5,89.37,33,9,14.97,clear sky
91,Slavgorodskoye,RU,53.0214,78.6435,27.3,76,100,10.33,overcast clouds
92,Hofn,IS,64.2539,-15.2082,39.6,60,99,26.42,overcast clouds
93,Ponta Do Sol,PT,32.6667,-17.1,73.0,76,60,3.13,broken clouds
94,Mercedes,AR,-34.6515,-59.4307,63.84,77,100,12.33,light rain
95,Berlevag,NO,70.8578,29.0864,34.65,79,100,18.12,overcast clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,70.05,94,100,21.59,overcast clouds
97,Tiznit,MA,29.5833,-9.5,63.3,40,0,1.32,clear sky
98,Souillac,MU,-20.5167,57.5167,70.36,88,40,5.75,scattered clouds
99,Thompson,CA,55.7435,-97.8558,28.56,93,75,4.61,light shower snow
100,Nikolskoye,RU,59.7035,30.7861,48.02,88,98,6.8,overcast clouds
101,Nouadhibou,MR,20.931,-17.0347,66.18,94,100,11.5,overcast clouds
102,Batticaloa,LK,7.7102,81.6924,79.9,86,44,7.9,scattered clouds
